分析結果で表示されるID,,センスがよい,格調高い,若々しい,信頼感のある,親しみやすい,先進的な,技術が優れている,独創的な,スポーティーな,安心感のある
ID1,TOYOTA,4.14286 ,4.42857 ,4.03571 ,6.14286 ,5.57143 ,5.39286 ,6.00000 ,4.75000 ,4.03571 ,5.92857 
ID2,NISSAN,4.92857 ,3.71429 ,4.85714 ,5.10714 ,5.57143 ,5.07143 ,5.21429 ,4.67857 ,4.75000 ,5.00000 
ID3,HONDA,4.82143 ,3.67857 ,5.82143 ,5.03571 ,5.42857 ,5.53571 ,5.71429 ,5.32143 ,5.64286 ,4.75000 
ID4,FORD,3.50000 ,4.17857 ,3.42857 ,3.78571 ,3.03571 ,3.25000 ,3.78571 ,4.17857 ,3.89286 ,3.60714 
ID5,MERCEDES−BENZ,4.53571 ,6.42857 ,2.92857 ,5.75000 ,2.60714 ,4.28571 ,5.42857 ,4.50000 ,3.57143 ,5.71429 
ID6,BMW,5.28571 ,5.67857 ,3.89286 ,5.28571 ,3.07143 ,4.25000 ,5.14286 ,4.46429 ,4.60714 ,5.35714 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
